label,poly,det,xor,xtime,involutory,mds,inv_det,inv_xor,inv_xtime,inv_involutory,inv_mds
Anubis (key schedule),x^8 + x^7 + x^2 + x + 1,0xac,20,32,False,True,0xb,61,98,False,True
Anubis (key schedule),x^8 + x^7 + x^3 + x + 1,0x37,20,32,False,True,0xa5,57,93,False,True
Anubis (key schedule),x^8 + x^7 + x^3 + x^2 + 1,0xb9,20,32,False,True,0xec,63,100,False,True
Anubis (key schedule),x^8 + x^7 + x^4 + x^3 + x^2 + x + 1,0x2d,20,32,False,True,0x42,57,94,False,True
Anubis (key schedule),x^8 + x^7 + x^5 + x + 1,0xf3,20,32,False,True,0xb,63,93,False,True
Anubis (key schedule),x^8 + x^7 + x^5 + x^3 + 1,0xe0,20,32,False,True,0x42,59,96,False,True
Anubis (key schedule),x^8 + x^7 + x^5 + x^4 + 1,0x73,20,32,False,True,0x88,53,101,False,True
Anubis (key schedule),x^8 + x^7 + x^5 + x^4 + x^3 + x^2 + 1,0xfa,20,32,False,True,0x41,61,100,False,True
Anubis (key schedule),x^8 + x^7 + x^6 + x + 1,0x87,20,32,False,True,0x5a,67,97,False,True
Anubis (key schedule),x^8 + x^7 + x^6 + x^3 + x^2 + x + 1,0x34,20,32,False,True,0xc5,59,100,False,True
Anubis (key schedule),x^8 + x^7 + x^6 + x^4 + x^2 + x + 1,0xad,20,32,False,True,0xaa,61,93,False,True
Anubis (key schedule),x^8 + x^7 + x^6 + x^4 + x^3 + x^2 + 1,0xa6,20,32,False,True,0xf5,61,101,False,True
Anubis (key schedule),x^8 + x^7 + x^6 + x^5 + x^2 + x + 1,0x88,20,32,False,True,0x3b,53,102,False,True
Anubis (key schedule),x^8 + x^7 + x^6 + x^5 + x^4 + x + 1,0xae,20,32,False,True,0x3,59,98,False,True
Anubis (key schedule),x^8 + x^7 + x^6 + x^5 + x^4 + x^2 + 1,0x2,20,32,False,True,0xfa,57,95,False,True
Anubis (key schedule),x^8 + x^7 + x^6 + x^5 + x^4 + x^3 + 1,0xa3,20,32,False,True,0x36,57,93,False,True
Whirlwind m0,x^4 + x + 1,0xb,104,136,False,False,0x5,128,136,False,False
Whirlwind m0,x^4 + x^3 + 1,0x4,104,136,False,False,0x6,112,160,False,False
Whirlwind m0,x^4 + x^3 + x^2 + x + 1,0xe,104,136,False,False,0xb,128,128,False,False
Whirlwind m1,x^4 + x + 1,0x9,128,128,False,False,0x2,128,128,False,False
Whirlwind m1,x^4 + x^3 + 1,0x6,128,128,False,False,0x4,120,144,False,False
Whirlwind m1,x^4 + x^3 + x^2 + x + 1,0xc,128,128,False,False,0xd,120,160,False,False
Grostl,x^8 + x^4 + x^3 + x + 1,0x1a,104,96,False,True,0xfd,232,376,False,True
Grostl,x^8 + x^4 + x^3 + x^2 + 1,0x1c,104,96,False,False,0xa0,240,384,False,False
Grostl,x^8 + x^5 + x^3 + x + 1,0x2a,104,96,False,False,0xb9,288,376,False,False
Grostl,x^8 + x^5 + x^3 + x^2 + 1,0x2c,104,96,False,False,0x74,216,352,False,False
Grostl,x^8 + x^5 + x^4 + x^3 + 1,0x38,104,96,False,False,0xc7,248,408,False,False
Grostl,x^8 + x^5 + x^4 + x^3 + x^2 + x + 1,0x3e,104,96,False,False,0x22,224,408,False,False
Grostl,x^8 + x^6 + x^3 + x^2 + 1,0x4c,104,96,False,False,0x3c,240,400,False,False
Grostl,x^8 + x^6 + x^4 + x^3 + x^2 + x + 1,0x5e,104,96,False,False,0x91,248,432,False,False
Grostl,x^8 + x^6 + x^5 + x + 1,0x62,104,96,False,False,0x2b,264,416,False,False
